@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10}

@data
56,'2016/07/31 16:11:44:731',2,6.192172,2152.209473,-37.724869,14.811225,-4.879298,3.663981,1.669882,-2.583364,0.732439,3.436544,-0.167825,2.099847,-0.105854,-1.361461,2.000908,-2.489384,0.409264,-0.22364,-1.490286,-0.256642,-0.4846,-0.012907,0.5497,-0.790996,-0.405951,0.39164,1
57,'2016/07/31 16:11:44:741',2,5.176478,2291.400391,-40.728912,14.276685,-5.038392,4.226111,2.371901,-1.522617,1.672548,3.49723,-0.675104,1.096293,-0.695213,-1.482433,2.693594,-1.599501,0.562915,-0.469166,-1.57132,-0.802337,-0.80527,-0.469291,0.6517,-0.191552,0.227187,0.714306,1
58,'2016/07/31 16:11:44:751',2,5.339541,2227.172607,-39.445637,15.874623,-4.4708,3.164451,1.244683,-3.663046,1.313646,3.236956,0.519345,1.951026,-0.78263,-1.767497,1.434075,-1.644318,0.266701,-0.257583,-1.276659,0.294483,-0.25668,0.366617,0.012159,-0.853252,-0.384936,0.989405,1
59,'2016/07/31 16:11:44:761',2,5.858878,2116.255371,-41.247139,14.969622,-4.311438,4.420628,2.898222,-3.24902,1.363413,2.528169,0.782679,1.79133,-0.912465,-2.779683,1.94965,-1.454051,0.160078,0.508451,-1.726713,0.037192,-0.468306,0.791954,0.036913,-0.815938,-0.549435,0.442895,1
60,'2016/07/31 16:11:44:771',2,8.057686,1749.260498,-42.191719,17.355019,-4.129036,3.31655,1.694822,-3.323416,1.659046,3.527699,0.532514,2.385783,-0.710072,-1.333082,1.694185,-2.233222,0.364744,-0.490375,-1.138155,-0.354628,-0.532172,0.498128,0.243938,-0.871522,-0.659847,0.476718,1
61,'2016/07/31 16:11:44:781',2,6.921337,1618.687378,-41.113335,16.963457,-4.16256,3.961444,2.004666,-2.949102,1.316731,4.462851,0.401473,2.04881,-1.22981,-2.024543,0.89473,-1.87294,0.500283,-0.86621,-1.069711,0.211084,-0.142278,0.637712,0.217129,-0.98021,-0.190565,1.018423,1
62,'2016/07/31 16:11:44:791',2,7.913969,1471.560669,-40.756668,17.8181,-4.422017,4.558518,2.239555,-2.467143,1.129043,3.105588,0.909169,2.116737,-0.746077,-2.343377,1.949667,-1.956948,0.122394,-0.183968,-1.523694,-0.680423,-0.150086,0.567177,0.464635,-0.457931,-0.335175,0.499247,1
63,'2016/07/31 16:11:44:801',2,8.474417,1312.156738,-42.020336,18.519978,-4.376993,4.72178,1.546771,-2.936666,1.771817,4.122172,1.183935,2.16736,-1.622004,-2.328299,1.293471,-1.490937,0.540729,-0.516317,-1.465628,-0.212186,0.270904,0.40327,-0.239316,-0.681034,-0.459642,0.932563,1
64,'2016/07/31 16:11:44:811',2,8.212654,1543.266235,-39.550652,16.407351,-3.460127,5.320589,0.949481,-2.891389,1.166867,3.552117,1.188331,2.153084,-0.603656,-3.280261,1.364322,-2.281543,1.258454,-0.100374,-1.791726,-0.349682,-0.432515,1.16507,0.39028,-0.596002,-0.004659,0.193355,1
65,'2016/07/31 16:11:44:821',2,7.708366,1665.478638,-40.297478,17.119368,-4.415909,4.717665,0.938507,-2.811379,1.209048,3.138622,0.742742,1.738974,-0.060994,-2.241413,2.196327,-1.8802,1.041197,-0.163528,-1.640667,-0.050599,-0.917286,0.442449,0.036827,-0.370812,-0.537456,0.188346,1
